,postcode,gemiddelde_woz_waarde_woning,gemeente,geometry
117131,2716,168,Zoetermeer,
117368,2717,159,Zoetermeer,
117579,2718,200,Zoetermeer,
117795,2719,235,Zoetermeer,
118012,2721,265,Zoetermeer,
118170,2722,135,Zoetermeer,
118345,2723,175,Zoetermeer,
118465,2724,174,Zoetermeer,
118669,2725,224,Zoetermeer,
118825,2726,179,Zoetermeer,
119001,2727,172,Zoetermeer,
119133,2728,230,Zoetermeer,
119311,2729,234,Zoetermeer,
119517,2731,242,Alphen aan den Rijn,
119624,2741,202,Waddinxveen,
119949,2742,195,Waddinxveen,
120167,2743,225,Waddinxveen,
120299,2751,241,Zuidplas,
120415,2752,325,Zuidplas,
120425,2761,239,Zuidplas,
120611,2771,225,Alphen aan den Rijn,
120988,2801,189,Gouda,
121299,2802,142,Gouda,
121571,2803,198,Gouda,
121866,2804,189,Gouda,
122202,2805,185,Gouda,
122460,2806,167,Gouda,
122740,2807,187,Gouda,
122977,2808,324,Gouda,
122992,2809,286,Gouda,
123011,2811,330,Bodegraven-Reeuwijk,
123077,2811,330,Alphen aan den Rijn,
123320,2821,272,Vlist,
123462,2825,324,Bergambacht,
123501,2831,211,Ouderkerk,
123569,2841,209,Zuidplas,
123779,2851,267,Vlist,
123904,2855,332,Vlist,
123922,2861,270,Bergambacht,
124130,2865,216,Bergambacht,
124178,2871,211,Schoonhoven,
124542,2901,235,Capelle aan den IJssel,
124671,2902,181,Capelle aan den IJssel,
124823,2903,151,Capelle aan den IJssel,
124994,2904,194,Capelle aan den IJssel,
125139,2905,149,Capelle aan den IJssel,
125293,2906,160,Capelle aan den IJssel,
125413,2907,159,Capelle aan den IJssel,
125592,2908,165,Capelle aan den IJssel,
125650,2909,287,Capelle aan den IJssel,
125688,2911,293,Zuidplas,
125773,2912,216,Zuidplas,
125905,2913,361,Zuidplas,
125923,2914,198,Zuidplas,
126072,2921,230,Krimpen aan den IJssel,
126138,2922,192,Krimpen aan den IJssel,
126290,2923,200,Krimpen aan den IJssel,
126413,2924,245,Krimpen aan den IJssel,
126497,2925,226,Krimpen aan den IJssel,
126511,2925,226,Scherpenzeel,
126618,2926,273,Krimpen aan den IJssel,
126661,2931,204,Nederlek,
126817,2935,236,Ouderkerk,
126949,2941,224,Nederlek,
127123,2951,188,Alblasserdam,
127309,2952,335,Alblasserdam,
127355,2953,182,Alblasserdam,
127469,2954,237,Alblasserdam,
127508,2957,199,Molenwaard,
127672,2959,246,Molenwaard,
127730,2961,199,Molenwaard,
127751,2964,247,Molenwaard,
127853,2965,218,Molenwaard,
127890,2967,237,Molenwaard,
127923,2968,276,Molenwaard,
127925,2969,292,Molenwaard,
127975,2971,271,Molenwaard,
128041,2973,283,Molenwaard,
128067,2974,291,Molenwaard,
128096,2975,322,Molenwaard,
128124,2977,303,Molenwaard,
128148,2981,166,Ridderkerk,
128237,2982,145,Ridderkerk,
128378,2983,193,Ridderkerk,
128564,2984,232,Ridderkerk,
128645,2985,178,Ridderkerk,
128746,2986,197,Ridderkerk,
128856,2987,169,Ridderkerk,
129005,2988,286,Ridderkerk,
129073,2989,283,Ridderkerk,
129091,2991,239,Barendrecht,
129355,2992,237,Barendrecht,
129608,2993,261,Barendrecht,
129812,2994,259,Barendrecht,
129919,2995,220,Zwijndrecht,
130017,3011,196,Rotterdam,
130350,3012,167,Rotterdam,
130530,3013,180,Rotterdam,
130563,3014,122,Rotterdam,
130803,3015,171,Rotterdam,
130875,3016,402,Rotterdam,
130931,3021,152,Rotterdam,
131250,3022,133,Rotterdam,
