,Soort_misdrijf,Perioden,Regio's,Provincie,Aantal_misdrijven,Misdrijven_relatief(%),Aantal_misdrijven_genormaliseerd,Aantal_misdrijven_klasse
11514,7 (Vuur)wapenmisdrijven,2017,Montferland,Gelderland,10.0,1.0,9.837678307919332e-05,Laag
11515,9 Misdrijven overige wetten,2013,Montferland,Gelderland,5.0,0.0,4.918839153959666e-05,Laag
11516,9 Misdrijven overige wetten,2014,Montferland,Gelderland,5.0,1.0,4.918839153959666e-05,Laag
11517,9 Misdrijven overige wetten,2015,Montferland,Gelderland,10.0,1.0,9.837678307919332e-05,Laag
11518,9 Misdrijven overige wetten,2016,Montferland,Gelderland,10.0,1.0,9.837678307919332e-05,Laag
11519,9 Misdrijven overige wetten,2017,Montferland,Gelderland,5.0,0.0,4.918839153959666e-05,Laag
11520,"Misdrijven, totaal",2013,Montfoort,Utrecht,380.0,100.0,0.003738317757009346,Hoog
11521,"Misdrijven, totaal",2014,Montfoort,Utrecht,375.0,100.0,0.0036891293654697493,Hoog
11522,"Misdrijven, totaal",2015,Montfoort,Utrecht,355.0,100.0,0.0034923757993113626,Hoog
11523,"Misdrijven, totaal",2016,Montfoort,Utrecht,320.0,100.0,0.0031480570585341863,Midden
11524,"Misdrijven, totaal",2017,Montfoort,Utrecht,325.0,100.0,0.0031972454500737825,Midden
11525,1 Vermogensmisdrijven,2013,Montfoort,Utrecht,225.0,60.0,0.0022134776192818495,Midden
11526,1 Vermogensmisdrijven,2014,Montfoort,Utrecht,200.0,53.0,0.001967535661583866,Midden
11527,1 Vermogensmisdrijven,2015,Montfoort,Utrecht,210.0,59.0,0.0020659124446630595,Midden
11528,1 Vermogensmisdrijven,2016,Montfoort,Utrecht,185.0,58.0,0.0018199704869650763,Midden
11529,1 Vermogensmisdrijven,2017,Montfoort,Utrecht,170.0,53.0,0.0016724053123462863,Midden
11530,"2 Vernielingen, misdr.openb.orde/gezag",2013,Montfoort,Utrecht,45.0,12.0,0.0004426955238563699,Midden
11531,"2 Vernielingen, misdr.openb.orde/gezag",2014,Montfoort,Utrecht,80.0,22.0,0.0007870142646335466,Midden
11532,"2 Vernielingen, misdr.openb.orde/gezag",2015,Montfoort,Utrecht,35.0,10.0,0.0003443187407771766,Midden
11533,"2 Vernielingen, misdr.openb.orde/gezag",2016,Montfoort,Utrecht,50.0,15.0,0.0004918839153959665,Midden
11534,"2 Vernielingen, misdr.openb.orde/gezag",2017,Montfoort,Utrecht,65.0,20.0,0.0006394490900147565,Midden
